"タイムスタンプ","Gender","Age","Alcohol drink","Fruit","Price","When did you last visit... [Super market]","When did you last visit... [CVS]","When did you last visit... [Drug store]","When did you last visit... [Glossary store]","You have studied [English]","You have studied [Mathematics]","You have studied [Science]","You have studied [Arts]","You have studied [Programming]"
"2022/03/10 1:19:08 午後 GMT+9","Male","-19","","Apple;Grape;Orange","530","Within a week","Within a month","Within 3 months","More than 3 months ago","in junior high school;in high school;in college","in junior high school;in high school","in junior high school","in elementary school;in junior high school",""
"2022/03/10 1:19:58 午後 GMT+9","Female","20-34","Cidre;Cognac","Melon;Orange;Pineapple","1000","Within a month","Within a week","More than 3 months ago","Never","in elementary school;in junior high school;in high school","in elementary school;in junior high school","in junior high school","",""
"2022/03/10 1:20:27 午後 GMT+9","Non-binary","35-49","Beer;Whisky","Apple;Apricot","","Within a month","Within 3 months","Within a month","Within 3 months","in junior high school","in elementary school","in elementary school;in junior high school","in junior high school;in high school","in college"
"2022/03/10 1:21:05 午後 GMT+9","Male","-19","","","","More than 3 months ago","Within 3 months","Never","Never","in junior high school;in high school","in junior high school;in high school","in junior high school","","in high school"
"2022/03/10 1:21:49 午後 GMT+9","Prefer not to say","50-","Beer","Grape;Lemon;Melon;Orange;Peach","2500","Within a week","Within a month","Within 3 months","Within a week","in elementary school;in junior high school;in high school;in college","in elementary school;in junior high school;in high school;in college","in elementary school;in junior high school;in high school;in college","in elementary school;in junior high school;in high school;in college","in elementary school;in junior high school;in high school;in college"
"2022/03/10 1:22:26 午後 GMT+9","Asexual","-19","","Lemon","180","Within 3 months","Within a week","Within a month","More than 3 months ago","in high school","in high school","in high school","in high school","in high school"
"2022/03/10 1:25:04 午後 GMT+9","Female","20-34","Beer;Cidre","","","Within a week","Within a week","Within a month","Within a month","in high school","in junior high school","in elementary school","in elementary school","in junior high school"
"2022/03/10 1:25:38 午後 GMT+9","Female","35-49","Sake","Melon;Peach","1500","More than 3 months ago","Within 3 months","Within a month","Within a week","in elementary school","in junior high school","in high school","in college",""
"2022/03/10 1:26:24 午後 GMT+9","Male","50-","Cognac;Whisky","Apricot;Grape","880","Within a month","Within a month","More than 3 months ago","More than 3 months ago","in junior high school;in high school","in junior high school;in high school","in elementary school;in junior high school;in high school","in elementary school;in junior high school",""
"2022/03/10 1:27:00 午後 GMT+9","Male","35-49","None","","","Within a month","Within a month","Within a month","Within a month","in junior high school","in junior high school","in elementary school;in junior high school;in high school;in college","in high school","in high school"
"2022/03/10 1:30:56 午後 GMT+9","Female","20-34","None","","0","Within a month","Within a week","Within a week","Within a month","in elementary school;in junior high school;in high school;in college","","in elementary school;in junior high school;in high school;in college","in elementary school;in junior high school;in high school;in college",""
"2022/03/10 1:32:01 午後 GMT+9","Male","20-34","Beer","Apple;strawberry","900","Within a month","Within 3 months","More than 3 months ago","Within a week","in high school","in high school","in high school","in elementary school;in junior high school;in high school;in college","in high school"
"2022/03/10 1:32:20 午後 GMT+9","Male","-19","","Lemon","180","Within a week","Within a week","Within a week","Within a week","in elementary school","in elementary school","in elementary school","in elementary school","in elementary school"
"2022/03/10 1:33:09 午後 GMT+9","Male","35-49","Cidre;Cognac;Wine;Whisky","Lemon;Orange;Mango","900","Within a month","Within a month","Within a month","Within a month","in junior high school;in high school","in junior high school;in high school","in junior high school;in high school","in junior high school;in high school","in elementary school"
"2022/03/10 1:33:52 午後 GMT+9","Male","20-34","Sake","Apple;Melon;Orange;Pineapple","3000","Within a week","Within a week","More than 3 months ago","Never","","","","",""
"2022/03/10 1:34:49 午後 GMT+9","Female","20-34","None","Fig","500","Within a month","Within a week","Within a month","Within a month","","","","",""
"2022/03/10 1:35:28 午後 GMT+9","Female","50-","Beer;Cidre;Wine","Grape;Peach;Fig","2000","Within 3 months","Within 3 months","Within 3 months","Never","in college","in college","in college","in junior high school;in high school","in college"
"2022/03/10 1:36:11 午後 GMT+9","Female","35-49","Beer;Cidre;Cognac;Wine;Whisky;None","Apple;Apricot;Grape;Lemon;Melon;Orange;Peach;Fig","5000","Within a week","Within a week","Within a week","Within a week","in elementary school;in junior high school","in elementary school;in junior high school","in elementary school;in junior high school","in elementary school;in junior high school","in elementary school;in junior high school"
"2022/03/10 1:36:30 午後 GMT+9","Female","-19","","Apple","180","Within 3 months","Within a week","Within a month","Within a month","in elementary school","in elementary school","in junior high school","in junior high school",""
"2022/03/10 1:37:04 午後 GMT+9","Male","20-34","Beer","Peach","1000","Within a month","Within a month","Within a month","Within a month","in elementary school;in junior high school;in high school","in elementary school;in junior high school;in high school","in elementary school;in junior high school;in high school","in elementary school;in junior high school;in high school",""